_id,name,rel,customer,newCol1,newCol2,status,orderType,config,platform,accType,testedBy,submissionReason,reqDate,submissionDate,startDate,endDate,rolloverDate,rolloverDays,rolloverDaysH,waitingDays,waitingDaysH,testingDays,testingDaysH,reportNo,releaseDate,reviewedBy,codeCompare,newFW,tBugs,is_delete,user_id,date,__v
66ff8d975fd9b4586d60352f,COC57.00 ,5.0,WBSEDCL,WBSEDCL ,sampark,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,SFF,TVM LT WC,DK,bug fixed,2024-06-12T00:00:00.000Z,2024-07-26T00:00:00.000Z,2024-07-29T00:00:00.000Z,2024-07-29T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,4.0,1.0,1.0,1.0,0,1970-01-01T00:00:00.000Z,AVM,0,0,0.0,False,66ff8d975fd9b4586d60352f,0,0
66ff8d975fd9b4586d603530,nLo066.00,0.0,Adani,APSPDCL,4G,Subs Itr rel,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,ABK,nLo057.06 modified for serial number format,2024-07-26T00:00:00.000Z,2024-07-26T00:00:00.000Z,2024-07-29T00:00:00.000Z,2024-08-06T00:00:00.000Z,2024-08-08T00:00:00.000Z,2.0,2.0,4.0,1.0,9.0,7.0,0,1970-01-01T00:00:00.000Z,NB,0,0,0.0,False,66ff8d975fd9b4586d603530,0,0
66ff8d975fd9b4586d603531,nLo044.08,8.0,TPCL,TPCL,4G,Withdrawn,DLMS Order,3P4W LTCT 240V 5-10A,NORTEM,SMART,0,bug fixed,2024-07-27T00:00:00.000Z,2024-07-29T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,0.0,0.0,1.0,0.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603531,0,0
66ff8d975fd9b4586d603532,nLo065.00,0.0,Adani,APCPDCL,"4G, w/o DI",Withdrawn,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,0,Firmware nLo064.00 Cn modified to remove DI functionality,2024-07-29T00:00:00.000Z,2024-07-29T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,0.0,0.0,1.0,0.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603532,0,0
66ff8d975fd9b4586d603533,nLo067.00,0.0,Adani,APSPDCL,"4G, w/o DI",Withdrawn,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,0,Firmware nLo066.00 Cn modified to remove DI functionality,2024-07-29T00:00:00.000Z,2024-07-29T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,0.0,0.0,1.0,0.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603533,0,0
66ff8d975fd9b4586d603534,RH50.02,0.0,Techno,MPPKVVCL Indore,0,Withdrawn,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,0,CR changes(Display),2024-07-29T00:00:00.000Z,2024-07-29T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,0.0,0.0,1.0,0.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603534,0,0
66ff8d975fd9b4586d603535,nLo044.09,9.0,TPCL,TPCL,4G,Released,DLMS Order,3P4W LTCT 240V 5-10A,NORTEM,SMART,AVM,bug fixed,2024-07-27T00:00:00.000Z,2024-07-29T00:00:00.000Z,2024-07-30T00:00:00.000Z,2024-07-30T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,2.0,0.0,1.0,1.0,QER-109164(3),2024-07-31T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603535,0,0
66ff8d975fd9b4586d603536,RH62.01,0.0,Alfanar ,MPMKVVCL-Bhopal,0,Released,DLMS Order,"1PH 10-60A,  Cl.1.0",CYGNUS,SMART,BCP,Bug fixed(meter restart),2024-07-30T00:00:00.000Z,2024-07-30T00:00:00.000Z,2024-07-30T00:00:00.000Z,2024-07-30T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,1.0,0.0,1.0,1.0,QER-109180(1).,2024-07-30T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603536,0,0
66ff8d975fd9b4586d603537,RH68.00,0.0,Intellismart,MVVNL,4GQuectel,Withdrawn,DLMS Order,"1Ph 4G 10-60A , Cl.1.0",CYGNUS,SMART,0,RH67.00 modified for CR changes,2024-07-30T00:00:00.000Z,2024-07-30T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,0.0,0.0,1.0,0.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603537,0,0
66ff8d975fd9b4586d603538,SF48.01,1.0,WBSEDCL ,WBSEDCL ,0,Released,DLMS Order,"1Ph 10-60A , Cl.1.0",SFF,ENM,AM,bug fixed,2024-07-25T00:00:00.000Z,2024-07-30T00:00:00.000Z,2024-07-30T00:00:00.000Z,2024-07-31T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,1.0,0.0,2.0,1.0,QER-108505(4),2024-07-31T00:00:00.000Z,DK,0,0,0.0,False,66ff8d975fd9b4586d603538,0,0
